Month-Year,Republic of South Africa,Canada,USA,Bangladesh,Brunei,China,Hong Kong SAR (China),India,Indonesia,Japan,South Korea,Kuwait,Malaysia,Myanmar,Pakistan,Philippines,Saudi Arabia,Sri Lanka,Taiwan,Thailand,United Arab Emirates,Vietnam,Belgium & Luxembourg,Finland,France,Germany,Italy,Netherlands,Spain,Switzerland,United Kingdom,Australia,New Zealand
1/1/2008,3680,6972,31155,6786,3729,79599,17103,41639,62683,37673,27937,284,31352,5269,1395,18622,406,5289,13757,18370,2652,10315,1341,1179,6918,11982,2953,4938,1668,4450,41934,71260,7806
1/2/2008,1662,6056,27738,6314,3070,82074,21089,37170,47834,35297,22633,241,35030,4643,1027,21609,591,4767,13921,16400,2230,13415,1449,1207,7876,13256,2704,4885,1568,4381,44029,45595,4729
1/3/2008,3394,6220,31349,7502,4805,72546,23230,44815,64688,42575,22876,206,37629,6218,1635,28464,626,4988,11181,23387,3353,14320,1674,1071,8066,15185,2822,5015,2254,5015,49489,53191,6106
1/4/2008,3337,4764,26376,7333,3096,76112,17688,49527,58074,26839,20634,193,37521,7324,1232,30131,644,7639,11665,24469,3245,15413,1426,768,8312,11604,3018,4902,1503,5434,35771,56514,7560
1/5/2008,2089,4460,26788,7988,3586,64808,19340,67754,57089,30814,22785,140,38044,5395,1306,30193,470,5125,11436,21935,2856,14424,1243,690,7066,9853,2165,4397,1365,4427,24464,57808,9090
1/6/2008,2515,3888,29725,8301,5284,55238,19152,57380,70118,31001,22575,354,40419,5542,1996,25800,772,4791,10689,19900,4292,21368,1255,624,5926,9347,2022,4166,1446,3359,22473,63350,9681
1/7/2008,2919,5313,33183,9004,4070,80747,22758,47131,73805,36373,25440,749,32507,6116,2817,26228,1384,5092,15764,21067,7339,21994,1936,632,9302,11619,3450,6319,3065,5205,27979,71487,11732
1/8/2008,2471,4519,27427,7913,4183,66625,21199,43266,58015,39592,24766,864,32654,5837,1843,26101,1529,6253,13570,18453,6497,19052,1739,511,10836,12173,5546,5645,4092,4580,31852,59246,9642
1/9/2008,2492,3421,21588,7549,3160,52649,18137,42053,63730,34945,16106,118,32272,5152,812,26463,359,4157,10250,17373,3104,12680,1257,961,6483,11833,2975,4486,2283,4362,29275,65146,9769
1/10/2008,3023,4756,25112,7527,2983,54423,16692,49147,71206,34104,19537,246,39477,5794,1071,28680,648,5022,10847,22503,3686,14893,1353,725,7041,14180,2625,5396,2048,5297,33461,67074,9787
1/11/2008,2433,4995,25198,7032,3632,58801,16278,39034,51265,35214,16050,212,40261,5031,1486,25341,555,4873,10197,15232,2904,14379,1823,1005,7270,14345,2746,5108,2056,5729,36317,52787,6477
1/12/2008,4434,5832,26243,6763,6957,48780,17935,44652,72068,34236,14706,386,59748,5841,1457,27057,753,7630,9633,16642,4897,16375,1567,1260,7207,12191,2859,4771,1969,5195,37171,68292,7047
1/1/2009,2913,5666,23883,5838,3606,76316,18692,32568,52286,26300,15615,181,35696,4647,921,19141,421,3654,12769,14700,3393,16022,1252,1134,6768,12037,3008,4734,1703,4874,36368,69422,6755
1/2/2009,1840,4895,22092,6004,3119,54250,16465,31674,47807,31858,16783,203,34849,4218,1093,22595,744,3782,9699,16271,2518,15433,1232,1482,7808,12989,2810,4626,1580,4928,38702,44832,3825
1/3/2009,2120,4816,24465,6358,4891,66269,18300,35138,64760,35039,13533,168,44178,5162,1227,27652,680,3826,9836,19289,3417,15136,1570,1416,8746,15127,3072,4782,1830,4968,40729,44777,4221
1/4/2009,2387,4030,21519,6057,3441,61336,24460,41976,65102,23642,14366,177,40968,6379,1169,33975,622,6317,9305,19962,4018,18013,1680,1061,8107,12871,2353,4068,1620,5484,33982,56494,5911
1/5/2009,1942,3809,23022,5966,3697,40078,18880,57362,65953,21733,15103,265,42049,4819,1164,31344,578,3912,9599,18938,3381,16461,1140,970,7175,9454,2558,3904,1574,3925,24101,51519,7041
1/6/2009,1999,3480,28186,6834,4961,34768,19042,52701,86938,21795,15456,524,50528,4502,2383,25917,784,4306,9569,18601,3857,22540,1145,1107,6733,8760,2582,3645,1742,3310,21938,57855,8303
1/7/2009,2882,4553,32448,8854,3315,56677,28171,48412,94331,37841,21532,1722,42739,5171,2945,25330,1586,5052,14222,19424,6190,25817,2104,769,10098,11592,3149,8016,2537,5336,28984,69636,9813
1/8/2009,2291,4422,28444,6727,3212,63217,29840,42519,71754,40081,21858,741,45715,4185,1844,28104,1210,6167,13764,17511,5035,19212,1912,549,13575,13194,7579,7145,4034,4198,31558,57896,8173
1/9/2009,2271,3103,22451,6557,4013,45918,19023,45723,102622,41081,12070,322,51569,4419,918,28250,695,4793,8848,17755,3395,14828,1526,861,7443,12785,3024,5332,2562,4175,30511,66759,8504
1/10/2009,2726,4030,27178,7852,3689,62075,21511,48976,77974,33710,12665,242,52937,5544,1218,30736,590,5139,10400,25757,2881,17813,1612,911,8799,14995,3075,6071,2658,5688,34265,71415,8316
1/11/2009,2352,4328,28758,6343,4912,65419,17577,38747,82368,31127,14895,372,59946,4942,1247,29874,921,4807,9558,17867,4351,16747,1702,1214,8916,14579,2702,5446,2487,5487,35533,60452,6785
1/12/2009,4767,5111,28038,7521,8649,63669,16540,49802,120752,31210,14173,358,80243,5981,1885,32774,634,6503,8047,19259,3608,18783,1478,1467,8106,11632,3085,5369,2031,4753,33989,74746,6138
1/1/2010,3004,5401,30888,7162,4796,72930,16543,42071,97938,29188,24381,405,49705,4790,1282,25783,474,3972,12681,17519,3381,15781,1684,1558,8705,13264,3810,5715,1897,5522,39351,79506,7503
1/2/2010,1532,4626,25093,5275,3787,97568,19986,35428,78136,31028,18972,556,51163,3794,1074,25683,648,3856,13657,16415,2785,16335,1552,1262,9421,13204,3171,5279,2003,5498,39037,49613,3992
1/3/2010,2447,5054,30326,7320,5124,66205,22878,42208,100438,41029,19410,378,60132,6194,1429,36221,618,4555,11540,23254,3532,18061,1947,1473,9688,18024,3263,5649,2457,5777,43319,55860,4953
1/4/2010,2441,4503,26501,7091,3673,68004,30187,55387,96993,27664,16880,288,60206,7588,1321,43650,946,7931,12228,33943,3943,22154,1787,852,9329,13137,2718,4671,1882,6173,33923,63203,5911
1/5/2010,1962,4418,28571,7187,4520,54135,27574,77500,111211,29553,22050,420,61888,5608,1333,44378,691,5080,14534,30501,3523,21461,1337,744,9011,12345,2630,4941,1656,5524,25286,56457,7502
1/6/2010,1890,3996,34657,8083,5475,54189,27384,59607,134830,30066,20475,752,72016,5483,2401,36679,864,4713,11320,24688,4315,28146,1361,846,7375,10493,2772,4147,2105,3892,22004,65382,8748
